"Sacri Monti","Staggered in Lies"
"Sacri Monti","Staggered in Lies"
"Beat Service, Gemma Pavlovic","Masquerade - Sunn Jellie Dub Mix"
"Beat Service, Gemma Pavlovic","Masquerade - Sunn Jellie Dub Mix"
"Issues","Princeton Ave"
"Issues","Princeton Ave"
"Riverside","The Same River"
"Riverside","The Same River"
"Insomnium","Black Heart Rebellion"
"Insomnium","Black Heart Rebellion"
"Virus","Steamer"
"Virus","Steamer"
"A Day To Remember","Reassemble"
"A Day To Remember","Reassemble"
"Alan Blaisdell","No War Worth Fighting"
"Alan Blaisdell","No War Worth Fighting"
"Western Skies Motel","Migratory Birds"
"Western Skies Motel","Migratory Birds"
"Breakdown of Sanity","Hero"
"Breakdown of Sanity","Hero"
"Ween","Buckingham Green"
"Ween","Buckingham Green"
"Where the Good Way Lies","Dusk Gives Way"
"Where the Good Way Lies","Dusk Gives Way"
"Cryptopsy","The Pestilence That Walketh In Darkness (Psalm 91: 5-8)"
"Cryptopsy","The Pestilence That Walketh In Darkness (Psalm 91: 5-8)"
"Thank You Scientist","Psychopomp"
"Thank You Scientist","Psychopomp"
"Thank You Scientist","Psychopomp"
"Thank You Scientist","Psychopomp"
"Thank You Scientist","Psychopomp"
"Thank You Scientist","Psychopomp"
"Boston","Foreplay / Long Time"
"Boston","Foreplay / Long Time"
"Fire From The Gods","Excuse Me"
"Fire From The Gods","Excuse Me"
"Foals","Hummer"
"Foals","Hummer"
"Drumcomplex, Krenzlin","Third Eye - Sebastian Bayne Tool Mix"
"Drumcomplex, Krenzlin","Third Eye - Sebastian Bayne Tool Mix"
"Good Tiger","Snake Oil"
"Good Tiger","Snake Oil"
"Killswitch Engage","My Last Serenade"
"Killswitch Engage","My Last Serenade"
"Yyrkoon","Crystal light"
"Yyrkoon","Crystal light"
"While She Sleeps","Seven Hills"
"While She Sleeps","Seven Hills"
"Witchfynde","The Divine Victim"
"Witchfynde","The Divine Victim"
"Coheed and Cambria","Gravity's Union"
"Coheed and Cambria","Gravity's Union"
"Stage Kids","Jafari's Revenge"
"Stage Kids","Jafari's Revenge"
"Anthropology","You Are the Fire Chief of a Very Large City"
"Anthropology","You Are the Fire Chief of a Very Large City"
"Polyphia, Nick Johnston","Champagne (feat. Nick Johnston)"
"Polyphia, Nick Johnston","Champagne (feat. Nick Johnston)"
"Darkest Hour","Low"
"Darkest Hour","Low"
"Kreator","Reconquering The Throne"
"Kreator","Reconquering The Throne"
"Demon Hunter","Snap Your Fingers, Snap Your Neck"
"Demon Hunter","Snap Your Fingers, Snap Your Neck"
"Fat Jon","Altais"
"Fat Jon","Altais"
"Norma Jean","Discipline Your Daughters"
"Norma Jean","Discipline Your Daughters"
"Dan Swanö","The Big Sleep"
"Dan Swanö","The Big Sleep"
"Blotted Science","Narcolepsy"
"Blotted Science","Narcolepsy"
"Closer","Hell is Where The Heart Is"
"Closer","Hell is Where The Heart Is"
"Yes","Cans and Brahms - Live"
"Yes","Cans and Brahms - Live"
"Eluvium","Fugue State"
"Eluvium","Fugue State"
"Old Wounds","The Secret Song at the Center of the World"
"Old Wounds","The Secret Song at the Center of the World"
"Virgin Steele","Twilight Of The Gods"
"Virgin Steele","Twilight Of The Gods"
"Hacride","Synesthesia"
"Hacride","Synesthesia"
"Chthe'ilist","Into the Vaults of Ingurgitating Obscurity"
"Chthe'ilist","Into the Vaults of Ingurgitating Obscurity"
"Teramaze","Anhedonia"
"Teramaze","Anhedonia"
"Judas Iscariot","I Awoke to a Night of Pain and Carnage"
"Judas Iscariot","I Awoke to a Night of Pain and Carnage"
"Absu","The Coming Of War"
"Absu","The Coming Of War"
"Black Peaks","Set in Stone"
"Black Peaks","Set in Stone"
"Godflesh","Decline and Fall"
"Godflesh","Decline and Fall"
"Opeth","Nepenthe"
"Opeth","Nepenthe"
"Sargeist","Black Fucking Murder"
"Sargeist","Black Fucking Murder"
"Gorguts","Le Toit Du Monde"
"Gorguts","Le Toit Du Monde"
"Cloudkicker","Ever Thus to Deadbeats"
"Cloudkicker","Ever Thus to Deadbeats"
"Widek, Per Nilsson","Canis Majoris (feat. Per Nilsson)"
"Widek, Per Nilsson","Canis Majoris (feat. Per Nilsson)"
"Michael Kiwanuka","Cold Little Heart"
"Michael Kiwanuka","Cold Little Heart"
"Electro Quarterstaff","Waltz of the Swedish Meatballs"
"Electro Quarterstaff","Waltz of the Swedish Meatballs"
"Burden Of A Day","Remember"
"Burden Of A Day","Remember"
"Coronal Mass Ejection","Origin of Species"
"Coronal Mass Ejection","Origin of Species"
"Anathema","Lost Control"
"Anathema","Lost Control"
"Genesis","In The Cage - Includes excerpts from Cinema Show and Dukes Travels Live In Manchester"
"Genesis","In The Cage - Includes excerpts from Cinema Show and Dukes Travels Live In Manchester"
"Kayo Dot","Rings of Earth"
"Kayo Dot","Rings of Earth"
"Protest The Hero","Tandem"
"Protest The Hero","Tandem"
"Arjen Anthony Lucassen's Star One","24 Hours"
"Arjen Anthony Lucassen's Star One","24 Hours"
"Frantic Amber","Soar"
"Frantic Amber","Soar"
"Destroy The Runner","The Aleph"
"Destroy The Runner","The Aleph"
"Good Tiger","All Her Own Teeth"
"Good Tiger","All Her Own Teeth"
"Cynic","The Eagle Nature"
"Cynic","The Eagle Nature"
"Periphery","Motormouth"
"Periphery","Motormouth"
"Degree of Arc","Immunity in Collapse"
"Degree of Arc","Immunity in Collapse"
"Brujeria","Viva Presidente Trump!"
"Brujeria","Viva Presidente Trump!"
"Red Moon Architect","Isolated"
"Red Moon Architect","Isolated"
"Four Tet","Slow Jam"
"Four Tet","Slow Jam"
"Eagles","New Kid In Town"
"Eagles","New Kid In Town"
"Old Seas;Young Mountains","A Journey"
"Old Seas;Young Mountains","A Journey"
"Spawn of Possession","Apparition"
"Spawn of Possession","Apparition"
"Spawn of Possession","Apparition"
"Spawn of Possession","Apparition"
"Amagortis","Drenched in Diarrhea"
"Amagortis","Drenched in Diarrhea"
"Amavasya","Guidance"
"Amavasya","Guidance"
"After The Burial","Nine Summers"
"After The Burial","Nine Summers"
"Cathedral","Upon Azrael's Wings"
"Cathedral","Upon Azrael's Wings"
"Storm Corrosion, Mikael Åkerfeldt","Storm Corrosion"
"Storm Corrosion, Mikael Åkerfeldt","Storm Corrosion"
"Brymir","Cycle of Flame"
"Brymir","Cycle of Flame"
"Baroness","Take My Bones Away"
"Baroness","Take My Bones Away"
"Katatonia","Black Erotica"
"Katatonia","Black Erotica"
"Dong Hua","Seeing My Sweetheart Off"
"Dong Hua","Seeing My Sweetheart Off"
"The Coach and Four","Secret Bell"
"The Coach and Four","Secret Bell"
"Trivium","Into The Mouth Of Hell We March"
"Trivium","Into The Mouth Of Hell We March"
"Midnite String Quartet","Right In Two"
"Midnite String Quartet","Right In Two"
"King Diamond","Father Picard (Reissue)"
"King Diamond","Father Picard (Reissue)"
"Vitalism","Bipolarity"
"Vitalism","Bipolarity"
"Shadows Fall","The Light That Blinds"
"Shadows Fall","The Light That Blinds"
"King Diamond","Eye Of The Witch (Reissue)"
"King Diamond","Eye Of The Witch (Reissue)"
"Cloudkicker","A Weather Front Was Stalled out in the Pacific--Like a Lonely Person, Lost in Thought, Oblivious of Time."
"Cloudkicker","A Weather Front Was Stalled out in the Pacific--Like a Lonely Person, Lost in Thought, Oblivious of Time."
"Diamond Head","Sucking My Love"
"Diamond Head","Sucking My Love"
"Dream The Electric Sleep","Headlights"
"Dream The Electric Sleep","Headlights"
"Testament","More Than Meets the Eye (Live @ Paramount Theatre, Huntington, New York)"
"Testament","More Than Meets the Eye (Live @ Paramount Theatre, Huntington, New York)"
"Underoath","The Created Void"
"Underoath","The Created Void"
"Iced Earth","Dante's Inferno"
"Iced Earth","Dante's Inferno"
"Spiricom","Shadow People"
"Spiricom","Shadow People"
"Genesis","Domino - Live In Rome"
"Genesis","Domino - Live In Rome"
"Celtic Frost","A Dying God Coming Into Human Flesh"
"Celtic Frost","A Dying God Coming Into Human Flesh"
"I Built the Sky","Noctilucent"
"I Built the Sky","Noctilucent"
"Norma Jean","Deathbed Atheist"
"Norma Jean","Deathbed Atheist"
"Monuments","Garden of Sankhara"
"Monuments","Garden of Sankhara"
"Pig Destroyer","Towering Flesh"
"Pig Destroyer","Towering Flesh"
"John Wesley, Shawn Malone, Mark Kelly","Sugar Mice - Marillion Cover (Live)"
"John Wesley, Shawn Malone, Mark Kelly","Sugar Mice - Marillion Cover (Live)"
"The Moody Blues, Colorado Symphony","Tuesday Afternoon (Forever Afternoon) - Live At Red Rocks/1992"
"The Moody Blues, Colorado Symphony","Tuesday Afternoon (Forever Afternoon) - Live At Red Rocks/1992"
"Ozzy Osbourne","Shot in the Dark"
"Ozzy Osbourne","Shot in the Dark"
"Triptykon","Altar of Deceit"
"Triptykon","Altar of Deceit"
"Whale Fall","The Dawn Thief"
"Whale Fall","The Dawn Thief"
"Demon Hunter","I Am You"
"Demon Hunter","I Am You"
"Son Of Aurelius","Long Ago"
"Son Of Aurelius","Long Ago"
"Guilt Machine","Twisted Coil"
"Guilt Machine","Twisted Coil"
"Dance Gavin Dance","Eagle vs. Crows"
"Dance Gavin Dance","Eagle vs. Crows"
"Wrekmeister Harmonies","Some Were Saved Some Drowned"
"Wrekmeister Harmonies","Some Were Saved Some Drowned"
"Metallica","One"
"Metallica","One"
"Mastodon","The Czar: Usurper / Escape / Martyr / Spiral"
"Mastodon","The Czar: Usurper / Escape / Martyr / Spiral"
"Cryptopsy","Phobophile"
"Cryptopsy","Phobophile"
"In Vain","Image of Time"
"In Vain","Image of Time"
"Kublai Khan","Partners"
"Kublai Khan","Partners"
"Queensrÿche","Take Hold Of The Flame - Digital Remaster"
"Queensrÿche","Take Hold Of The Flame - Digital Remaster"
"Xerath","Bleed This Body Clean"
"Xerath","Bleed This Body Clean"
"Def Leppard","Too Late For Love - Live"
"Def Leppard","Too Late For Love - Live"
"Helloween","Future World"
"Helloween","Future World"
"Ghost Ship Octavius","Mills of the Gods"
"Ghost Ship Octavius","Mills of the Gods"
"Beyond Creation","Sous La Lueur De L'empereur"
"Beyond Creation","Sous La Lueur De L'empereur"
"Jefferson Starship","St. Charles - 2004 Remastered"
"Jefferson Starship","St. Charles - 2004 Remastered"
"Jeff Beck, Jan Hammer","Blue Wind"
"Jeff Beck, Jan Hammer","Blue Wind"
"Bury Tomorrow","Man on Fire"
"Bury Tomorrow","Man on Fire"
"Marty Friedman","Asu E No Sanka"
"Marty Friedman","Asu E No Sanka"
"Enslaved","Ethica Odini"
"Enslaved","Ethica Odini"
"Lungfish","Necrophones"
"Lungfish","Necrophones"
"Fractal Gates","Inertia"
"Fractal Gates","Inertia"
"Frost*","Towerblock"
"Frost*","Towerblock"
"Reflections","Amulet"
"Reflections","Amulet"
"Gojira","VACUITY"
"Gojira","VACUITY"
"Pete Hawkes","Beautiful Fragile Ani (in DADGAD)"
"Pete Hawkes","Beautiful Fragile Ani (in DADGAD)"
"Atreyu","This Flesh a Tomb"
"Atreyu","This Flesh a Tomb"
"Between The Buried And Me","The Ectopic Stroll"
"Between The Buried And Me","The Ectopic Stroll"
"If These Trees Could Talk","Barren Lands of the Modern Dinosaur"
"If These Trees Could Talk","Barren Lands of the Modern Dinosaur"
"Ruins of Humanity","Enemy in the Mirror"
"Ruins of Humanity","Enemy in the Mirror"
"Porcupine Tree","Strip The Soul"
"Porcupine Tree","Strip The Soul"
"Saint Vitus","The War Starter"
"Saint Vitus","The War Starter"
"Yes","South Side Of The Sky - Remastered"
"Yes","South Side Of The Sky - Remastered"
"A Day To Remember","You Be Tails, I'll Be Sonic"
"A Day To Remember","You Be Tails, I'll Be Sonic"
"Ovid's Withering","Oedipus Complex"
"Ovid's Withering","Oedipus Complex"
"Uada","Black Autumn, White Spring"
"Uada","Black Autumn, White Spring"
"Arkaik","Metamorphignition"
"Arkaik","Metamorphignition"
"Mastodon","Deathbound - Bonus Track"
"Mastodon","Deathbound - Bonus Track"
"Dylan Briscall","Someone Worth Loving"
"Dylan Briscall","Someone Worth Loving"
"Hopes Die Last","Unleash Hell"
"Hopes Die Last","Unleash Hell"
"Solution .45","Mind Mutation"
"Solution .45","Mind Mutation"
"Leprous","The Flood"
"Leprous","The Flood"
"Ihsahn","Celestial Violence"
"Ihsahn","Celestial Violence"
"Carptree","In the Centre of an Empty Space"
"Carptree","In the Centre of an Empty Space"
"Ninja Sex Party","6969"
"Ninja Sex Party","6969"
"Aliases","Find Where You Hide"
"Aliases","Find Where You Hide"
"Open","Capital Advantage"
"Open","Capital Advantage"
"Ihsahn","Celestial Violence"
"Ihsahn","Celestial Violence"
"Slice The Cake","Destiny's Fool"
"Slice The Cake","Destiny's Fool"
"Before The Dawn","Phoenix Rising"
"Before The Dawn","Phoenix Rising"
"Heaven Shall Burn","Hunters Will Be Hunted"
"Heaven Shall Burn","Hunters Will Be Hunted"
"Styx","A Day"
"Styx","A Day"
"Kyuss","Thumb"
"Kyuss","Thumb"
"Cianide","Rage War"
"Cianide","Rage War"
"Secrets Of The Moon","Cosmogenesis"
"Secrets Of The Moon","Cosmogenesis"
"Sumerlands","The Guardian"
"Sumerlands","The Guardian"
"ISIS","20 Minutes / 40 Years"
"ISIS","20 Minutes / 40 Years"
"Lindsey Stirling","Transcendence"
"Lindsey Stirling","Transcendence"
"A Poor Man's Memory","1953"
"A Poor Man's Memory","1953"
"Bon Iver","33 “GOD”"
"Bon Iver","33 “GOD”"
"The Helix Nebula","Temple"
"The Helix Nebula","Temple"
"VRTRA","Perpetually Hag Ridden"
"VRTRA","Perpetually Hag Ridden"
"Pentarium","Schwarzmaler"
"Pentarium","Schwarzmaler"
"Northlane","Animate"
"Northlane","Animate"
"Devin Townsend Project","Higher"
"Devin Townsend Project","Higher"
"Upon A Burning Body","'Til the Break of Dawn"
"Upon A Burning Body","'Til the Break of Dawn"
"Gorgon","Elysium"
"Gorgon","Elysium"
"Kansas","Miracles out of Nowhere"
"Kansas","Miracles out of Nowhere"
"Blind Guardian","Sacred Worlds"
"Blind Guardian","Sacred Worlds"
"SikTh","Under The Weeping Moon"
"SikTh","Under The Weeping Moon"
"Foxing","Winding Cloth"
"Foxing","Winding Cloth"
"Todd Rundgren, Utopia","Sunset Boulevard/Le Feel Internacionale - (BBC Radio One "
"Todd Rundgren, Utopia","Sunset Boulevard/Le Feel Internacionale - (BBC Radio One "
"Dream Theater, Lzzy Hale","Our New World (feat. Lzzy Hale)"
"Dream Theater, Lzzy Hale","Our New World (feat. Lzzy Hale)"
"For Today","Devastator"
"For Today","Devastator"
"Elder","Dead Roots Stirring"
"Elder","Dead Roots Stirring"
"Mystifier","The Barbarian Duelling With The Wise"
"Mystifier","The Barbarian Duelling With The Wise"
"Oceansize","SuperImposer"
"Oceansize","SuperImposer"
"Solstafir","Ótta"
"Solstafir","Ótta"
"Drudkh","Eternity - Вічність"
"Drudkh","Eternity - Вічність"
"Underoath","A Moment Suspended in Time"
"Underoath","A Moment Suspended in Time"
"Eidola","Humble Ledger (Gnostic States)"
"Eidola","Humble Ledger (Gnostic States)"
"Industries of the Blind","I Just Wanted to Make You Something Beautiful"
"Industries of the Blind","I Just Wanted to Make You Something Beautiful"
"The Mars Volta","Miranda That Ghost Just Isn't Holy Anymore"
"The Mars Volta","Miranda That Ghost Just Isn't Holy Anymore"
"Mastodon","Where Strides the Behemoth"
"Mastodon","Where Strides the Behemoth"
"In Mourning","Below Rise to the Above"
"In Mourning","Below Rise to the Above"
"Mestís","Gentle Giant"
"Mestís","Gentle Giant"
"The Faceless","The Spiraling Void"
"The Faceless","The Spiraling Void"
"Imagine Dragons","Roots"
"Imagine Dragons","Roots"
"Memphis May Fire","The Abandoned"
"Memphis May Fire","The Abandoned"
"SikTh","Suffice"
"SikTh","Suffice"
"Dream On Dreamer","Hear Me Out"
"Dream On Dreamer","Hear Me Out"
"Norrsköld","Blackened sun"
"Norrsköld","Blackened sun"
"John Frusciante","Before the Beginning"
"John Frusciante","Before the Beginning"
"blessthefall","Wait For Tomorrow"
"blessthefall","Wait For Tomorrow"
"Mastodon","Diamond In The Witch House"
"Mastodon","Diamond In The Witch House"
"Sworn In","Hypocrisy"
"Sworn In","Hypocrisy"
"Make Them Suffer","Timeless"
"Make Them Suffer","Timeless"
"Cult Of Luna","Following Betulas"
"Cult Of Luna","Following Betulas"
"Taake","BJOERGVIN V"
"Taake","BJOERGVIN V"
"The Concepts","Shadow Walker"
"The Concepts","Shadow Walker"
"Make A Change... Kill Yourself","Du er alene"
"Make A Change... Kill Yourself","Du er alene"
"Cryptopsy","Cold Hate Warm Blood"
"Cryptopsy","Cold Hate Warm Blood"
"Devin Townsend","Color Your World"
"Devin Townsend","Color Your World"
"Killswitch Engage","When Darkness Falls"
"Killswitch Engage","When Darkness Falls"
"Memphis May Fire","Therapy Caravan Of The Fair Room"
"Memphis May Fire","Therapy Caravan Of The Fair Room"
"We Lost The Sea","A Gallant Gentleman"
"We Lost The Sea","A Gallant Gentleman"
"Acid Witch","Witchtanic Hellucinations"
"Acid Witch","Witchtanic Hellucinations"
"Issues","Rank Rider"
"Issues","Rank Rider"
"Van Der Graaf Generator","The Sleepwalkers - 2005 Digital Remaster"
"Van Der Graaf Generator","The Sleepwalkers - 2005 Digital Remaster"
"Thank You Scientist","Need More Input"
"Thank You Scientist","Need More Input"
"Karnivool","New Day"
"Karnivool","New Day"
"Hammock","Breathturn"
"Hammock","Breathturn"
"Breakdown of Sanity","Bulletproof"
"Breakdown of Sanity","Bulletproof"
"Monolord","Audhumbla"
"Monolord","Audhumbla"
"Ayreon","And The Druids Turn To Stone"
"Ayreon","And The Druids Turn To Stone"
"Hammerfall","Any Means Necessary"
"Hammerfall","Any Means Necessary"
"Caetano Veloso e Gilberto Gil","Desde Que O Samba E Samba"
"Caetano Veloso e Gilberto Gil","Desde Que O Samba E Samba"
"Vinterblot","Evoked by Light"
"Vinterblot","Evoked by Light"
"Dream Theater","Sacrificed Sons"
"Dream Theater","Sacrificed Sons"
"Oh Hiroshima","Ellipse"
"Oh Hiroshima","Ellipse"
"Klangstof","Doolhof"
"Klangstof","Doolhof"
"Nevermore","The River Dragon Has Come"
"Nevermore","The River Dragon Has Come"
"Closure in Moscow","Neoprene Byzantine"
"Closure in Moscow","Neoprene Byzantine"
"My Ticket Home","A New Breed"
"My Ticket Home","A New Breed"
"Oceansize","Massive Bereavement"
"Oceansize","Massive Bereavement"
"Vanna","She's A Real Battleaxe"
"Vanna","She's A Real Battleaxe"
"Intronaut","Sul Ponticello"
"Intronaut","Sul Ponticello"
"Overkill","Rotten to the Core"
"Overkill","Rotten to the Core"
"Wage War","Deadlocked"
"Wage War","Deadlocked"
"Breakdown of Sanity","Deep Sleep"
"Breakdown of Sanity","Deep Sleep"
"Gifts From Enola","Alagoas"
"Gifts From Enola","Alagoas"
"Wormrot","Erased Existence"
"Wormrot","Erased Existence"
"Breakdown of Sanity, Björn Krebs","Crossed Fingers (feat. Björn Krebs)"
"Breakdown of Sanity, Björn Krebs","Crossed Fingers (feat. Björn Krebs)"
"Ween","Mutilated Lips"
"Ween","Mutilated Lips"
"Like Moths To Flames","Bury Your Pain"
"Like Moths To Flames","Bury Your Pain"
"Der Weg einer Freiheit","Letzte Sonne"
"Der Weg einer Freiheit","Letzte Sonne"
"Genesis","Los Endos"
"Genesis","Los Endos"
"yaKu","The Overmind"
"yaKu","The Overmind"
"Moving Structures","Dusk"
"Moving Structures","Dusk"
"Cough","Possession"
"Cough","Possession"
"Brontide","Bare My Bones"
"Brontide","Bare My Bones"
"Mercyful Fate","Night Of The Unborn"
"Mercyful Fate","Night Of The Unborn"
"Dilute","Biblical Violence"
"Dilute","Biblical Violence"
"Glass Cloud","Memorandum"
"Glass Cloud","Memorandum"
"Plini","Electric Sunrise"
"Plini","Electric Sunrise"
"Pallbearer","Given To The Grave"
"Pallbearer","Given To The Grave"
"Mastodon","Ghost Of Karelia"
"Mastodon","Ghost Of Karelia"
"Tristania","Beyond The Veil,"
"Tristania","Beyond The Veil,"
"Trivium","Kirisute Gomen"
"Trivium","Kirisute Gomen"
"Destroyer 666","Traitor"
"Destroyer 666","Traitor"
"Umphrey's McGee","Words"
"Umphrey's McGee","Words"
"Beartooth","However You Want It Said"
"Beartooth","However You Want It Said"
"Vildhjarta","Shadow"
"Vildhjarta","Shadow"
"Novembre","Onirica East"
"Novembre","Onirica East"
"Paradise Lost","Internal Torment II"
"Paradise Lost","Internal Torment II"
"Omen","The Axeman"
"Omen","The Axeman"
"The Pineapple Thief","The Final Thing On My Mind"
"The Pineapple Thief","The Final Thing On My Mind"
"Phinehas","Dead Choir"
"Phinehas","Dead Choir"
"Coastlands","A World Not Yet Darkened"
"Coastlands","A World Not Yet Darkened"
"Steven Wilson","Drive Home"
"Steven Wilson","Drive Home"
"Bill Bruford","Hell's Bells"
"Bill Bruford","Hell's Bells"
"Silent Planet","Dying in Circles"
"Silent Planet","Dying in Circles"
"Riverside","Caterpillar and the Barbed Wire"
"Riverside","Caterpillar and the Barbed Wire"
"Revenge","Barbed Anti - No Remorse"
"Revenge","Barbed Anti - No Remorse"
"YOB","Grasping Air"
"YOB","Grasping Air"
"Cathedral","Utopian Blaster"
"Cathedral","Utopian Blaster"
"Horseburner","David"
"Horseburner","David"
"Blurry Lights","Flowers Field"
"Blurry Lights","Flowers Field"
"Gojira","ESOTERIC SURGERY"
"Gojira","ESOTERIC SURGERY"
"Affiance","Call To The Warrior"
"Affiance","Call To The Warrior"
"Periphery","Letter Experiment"
"Periphery","Letter Experiment"
"Dosh","Mpls Rock and Roll"
"Dosh","Mpls Rock and Roll"
"God Is An Astronaut","Transmissions (Live)"
"God Is An Astronaut","Transmissions (Live)"
"Hellions","Quality of Life"
"Hellions","Quality of Life"
"Warbringer","Total War"
"Warbringer","Total War"
"Maserati","Monoliths"
"Maserati","Monoliths"
"Israel Nash","Rain Plans"
"Israel Nash","Rain Plans"
"Old Solar","Celestial Beings"
"Old Solar","Celestial Beings"
"Incubus","The Battle of Armageddon"
"Incubus","The Battle of Armageddon"
"Guilt Machine","Season of Denial"
"Guilt Machine","Season of Denial"
"Mayday Parade","I'd Hate To Be You When People Find Out What This Song Is About"
"Mayday Parade","I'd Hate To Be You When People Find Out What This Song Is About"
"Immune","Father's Falling"
"Immune","Father's Falling"
"Intronaut","Core Relations"
"Intronaut","Core Relations"
"Bolt Thrower","No Guts, No Glory"
"Bolt Thrower","No Guts, No Glory"
"Devin Townsend Project","Juular"
"Devin Townsend Project","Juular"
"In Hearts Wake, Marcus Bridge","Intrepid"
"In Hearts Wake, Marcus Bridge","Intrepid"
"Death","Within the Mind"
"Death","Within the Mind"
"Genesis","The Musical Box"
"Genesis","The Musical Box"
"Between The Buried And Me","Arsonist"
"Between The Buried And Me","Arsonist"
"Eidola","Contra: Second Temple"
"Eidola","Contra: Second Temple"
"Spastic Ink","The Mad Data Race"
"Spastic Ink","The Mad Data Race"
"Between The Buried And Me","Telos"
"Between The Buried And Me","Telos"
"Asking Alexandria","Hey There Mr. Brooks"
"Asking Alexandria","Hey There Mr. Brooks"
"Devin Townsend Project","Offer Your Light"
"Devin Townsend Project","Offer Your Light"
"Birds And Buildings","Yucatan 65: The Agitation Of The Mass"
"Birds And Buildings","Yucatan 65: The Agitation Of The Mass"
"Soen","The Words"
"Soen","The Words"
"Erra","Continuum"
"Erra","Continuum"
"The Amity Affliction","Note To Self"
"The Amity Affliction","Note To Self"
"Sleep Dealer","Wayfarer"
"Sleep Dealer","Wayfarer"
"The Evpatoria Report","Mithridate"
"The Evpatoria Report","Mithridate"
"Texas In July","Pseudo Self"
"Texas In July","Pseudo Self"
"Devin Townsend Project","From the Heart"
"Devin Townsend Project","From the Heart"
"Skid Row","Wasted Time"
"Skid Row","Wasted Time"
"Caballero Reynaldo","Starless (King Crimson)"
"Caballero Reynaldo","Starless (King Crimson)"
"Nero Di Marte","Those Who Leave"
"Nero Di Marte","Those Who Leave"
"The Amity Affliction","Love Is a Battlefield"
"The Amity Affliction","Love Is a Battlefield"
"Pissgrave","Fields of Scattered Bones"
"Pissgrave","Fields of Scattered Bones"
"The Alan Parsons Project","Standing on Higher Ground"
"The Alan Parsons Project","Standing on Higher Ground"
"Diecast","Fade Away"
"Diecast","Fade Away"
"Dorje","Flower of Life - Radio Edit"
"Dorje","Flower of Life - Radio Edit"
"Astralasia","I Talk to the Wind"
"Astralasia","I Talk to the Wind"
"Helen Shapiro","Let's Talk About Love"
"Helen Shapiro","Let's Talk About Love"
"Heaven Shall Burn","Passage of the Crane"
"Heaven Shall Burn","Passage of the Crane"
"Cloudkicker","Hassan"
"Cloudkicker","Hassan"
"Opeth","By the Pain I See In Others"
"Opeth","By the Pain I See In Others"
"Jonathan Lear","In 2 Plaid"
"Jonathan Lear","In 2 Plaid"
"In-Dreamview","Human Nature"
"In-Dreamview","Human Nature"
"Children of Nova","The Order"
"Children of Nova","The Order"
"Toy","Sideways Walk"
"Toy","Sideways Walk"
"Toy","Sideways Walk"
"Toy","Sideways Walk"
"Hawkwind","Magnu"
"Hawkwind","Magnu"
"Rush","Between The Wheels"
"Rush","Between The Wheels"
"Knocked Loose","Last Words"
"Knocked Loose","Last Words"
"As I Lay Dying","94 Hours"
"As I Lay Dying","94 Hours"
"The Reptilian","Drifter"
"The Reptilian","Drifter"
"Delta Sleep","Daniel Craig David"
"Delta Sleep","Daniel Craig David"
"Vanna","Paranoia Euphoria"
"Vanna","Paranoia Euphoria"
"Rick Wakeman, The English Rock Ensemble","No Earthly Connection / The Prisoner"
"Rick Wakeman, The English Rock Ensemble","No Earthly Connection / The Prisoner"
"MyChildren MyBride","Crimson Grim"
"MyChildren MyBride","Crimson Grim"
"Dark Tranquillity","Out of Nothing"
"Dark Tranquillity","Out of Nothing"
"Uncle Acid & The Deadbeats","Melody Lane"
"Uncle Acid & The Deadbeats","Melody Lane"
"Elder","Spires Burn"
"Elder","Spires Burn"
"Guapo","III."
"Guapo","III."
"Riverside","Hyperactive"
"Riverside","Hyperactive"
"Heathen","Prisoners Of Fate"
"Heathen","Prisoners Of Fate"
"Fit For A King","Pissed Off"
"Fit For A King","Pissed Off"
"The Dear Hunter","Mr. Usher (On His Way to Town)"
"The Dear Hunter","Mr. Usher (On His Way to Town)"
"Unearthly","Baptized in Blood"
"Unearthly","Baptized in Blood"
"Outrun The Sunlight","Laughing with Such Abandon"
"Outrun The Sunlight","Laughing with Such Abandon"
"Absu","Amy"
"Absu","Amy"
"Korn","Insane"
"Korn","Insane"
"Vader","Go to Hell"
"Vader","Go to Hell"
"Native Construct","The Spark of the Archon"
"Native Construct","The Spark of the Archon"
"Degree of Arc","Can You See the Horizon?"
"Degree of Arc","Can You See the Horizon?"
"Tides from nebula","The Lifter"
"Tides from nebula","The Lifter"
"If These Trees Could Talk","Solstice"
"If These Trees Could Talk","Solstice"
"MONO","Ely's Heartbeat"
"MONO","Ely's Heartbeat"
"Raunchy","Eyes of a Storm"
"Raunchy","Eyes of a Storm"
"Destroy The Runner","Without Sight"
"Destroy The Runner","Without Sight"
"Candlemass","Death Thy Lover"
"Candlemass","Death Thy Lover"
"Suffocation","Bind Torture Kill"
"Suffocation","Bind Torture Kill"
"After The Burial","Pendulum"
"After The Burial","Pendulum"
"Well of Souls","A Dark Soul's Destiny"
"Well of Souls","A Dark Soul's Destiny"
"Bombs of Hades","To Walk Through the Pyres"
"Bombs of Hades","To Walk Through the Pyres"
"Reboost","Slappin' da Bass - Original Edit"
"Reboost","Slappin' da Bass - Original Edit"
"Modern Day Babylon","Journey of Living"
"Modern Day Babylon","Journey of Living"
"Cloudkicker","Trim Splint"
"Cloudkicker","Trim Splint"
"Ozzy Osbourne","Bark at the Moon"
"Ozzy Osbourne","Bark at the Moon"
"Queensrÿche","The Whisper - Digital Remaster"
